0.566919	-72.629981306022927	-52.7334	-52.6531	-52.6197
0.755892	-74.653304397888434	-54.923		-54.8445	-54.8074
0.944865	-75.573525369132881	-55.8863	-55.8084	-55.769
1.13384	        -76.008254481648123	-56.3264	-56.2494	-56.2074
1.32281	        -76.212825226198419	-56.5268	-56.4518	-56.4062
1.51178	        -76.302907795846991	-56.6129	-56.5412	-56.49
1.70076	        -76.334540861394842	-56.6447	-56.5773	-56.5174
1.88973	        -76.336245791586975	-56.655		-56.5885	-56.5175
2.0787	        -76.323015689413339	-56.6626	-56.5841	-56.5053
2.26768		-76.302936259306293	-56.673		-56.5686	-56.4873
2.45665		-76.280437125709284	-56.6835	-56.5479	-56.4664
2.64562		-76.257926588208960	-56.6919	-56.5259	-56.4447
2.83459		-76.236669692297454	-56.698		-56.5043	-56.4233
3.02357		-76.217288620275099	-56.7019	-56.4842	-56.4031
